timestamp,back_x,back_y,back_z,thigh_x,thigh_y,thigh_z,label
2021-05-31 13:34:08.140,-1.001465,-0.0773929999999999,-0.32959,-0.968262,-0.050781,-0.185547,6
2021-05-31 13:34:08.159,-1.0,-0.086426,-0.328125,-0.972412,-0.044189,-0.163818,6
2021-05-31 13:34:08.180,-1.0,-0.095703,-0.3261719999999999,-0.979248,-0.026367,-0.136963,6
2021-05-31 13:34:08.199,-1.0,-0.095215,-0.334961,-0.952393,-0.009766,-0.137451,6
2021-05-31 13:34:08.220,-1.0,-0.087402,-0.345947,-0.970703,0.001953,-0.118896,6
2021-05-31 13:34:08.239,-1.0,-0.075684,-0.34375,-0.96875,0.0,-0.1079099999999999,6
2021-05-31 13:34:08.260,-1.0,-0.0791019999999999,-0.34375,-0.96875,0.0,-0.104736,6
2021-05-31 13:34:08.279,-1.0,-0.073975,-0.342773,-0.96875,-0.000977,-0.091309,6
2021-05-31 13:34:08.300,-1.0,-0.0603029999999999,-0.3469239999999999,-0.96875,0.006104,-0.09375,6
2021-05-31 13:34:08.319,-1.0,-0.0625,-0.361084,-0.96875,0.012451,-0.09375,6
2021-05-31 13:34:08.340,-1.0,-0.0625,-0.359375,-0.967285,-0.0021969999999999,-0.09375,6
2021-05-31 13:34:08.359,-0.998535,-0.061035,-0.359375,-0.976074,0.0,-0.092285,6
2021-05-31 13:34:08.380,-0.983643,-0.046143,-0.359131,-0.980225,0.0,-0.099854,6
2021-05-31 13:34:08.399,-0.984131,-0.046631,-0.359131,-0.964844,0.0,-0.111572,6
2021-05-31 13:34:08.420,-0.984375,-0.045898,-0.374023,-0.977295,0.0,-0.109375,6
2021-05-31 13:34:08.440,-0.984375,-0.060791,-0.375,-0.979248,0.0,-0.1110839999999999,6
2021-05-31 13:34:08.460,-0.984375,-0.062744,-0.375,-0.964844,0.0,-0.101807,6
2021-05-31 13:34:08.479,-0.984375,-0.0625,-0.375,-0.978516,0.0,-0.09375,6
2021-05-31 13:34:08.500,-0.984375,-0.0625,-0.375,-0.976074,0.001953,-0.083496,6
2021-05-31 13:34:08.520,-0.984375,-0.060059,-0.375,-0.977295,-0.010498,-0.08667,6
2021-05-31 13:34:08.539,-0.984375,-0.075195,-0.375,-0.977295,-0.008545,-0.084473,6
2021-05-31 13:34:08.559,-0.984375,-0.0695799999999999,-0.375,-0.967041,0.001465,-0.087646,6
2021-05-31 13:34:08.579,-0.984375,-0.060791,-0.375,-0.96875,0.0,-0.083496,6
2021-05-31 13:34:08.600,-0.984375,-0.0625,-0.375,-0.96875,0.0,-0.088623,6
2021-05-31 13:34:08.619,-0.984375,-0.0625,-0.375,-0.96875,0.0,-0.087402,6
2021-05-31 13:34:08.640,-0.984375,-0.0625,-0.375,-0.96875,0.0,-0.064209,6
2021-05-31 13:34:08.659,-0.984375,-0.0625,-0.376465,-0.96875,0.0,-0.071777,6
2021-05-31 13:34:08.680,-0.984375,-0.0625,-0.368164,-0.96875,0.0,-0.0791019999999999,6
2021-05-31 13:34:08.699,-0.984375,-0.0625,-0.3618159999999999,-0.96875,0.0,-0.078125,6
2021-05-31 13:34:08.720,-0.984375,-0.0625,-0.37793,-0.96875,0.0,-0.078125,6
2021-05-31 13:34:08.739,-0.983643,-0.0625,-0.37085,-0.96875,0.0,-0.078125,6
2021-05-31 13:34:08.760,-0.987305,-0.0625,-0.360596,-0.966553,0.0,-0.078125,6
2021-05-31 13:34:08.779,-0.999512,-0.0625,-0.374268,-0.983154,0.0,-0.078125,6
2021-05-31 13:34:08.800,-0.983154,-0.0625,-0.359619,-0.971924,0.0,-0.078125,6
2021-05-31 13:34:08.819,-0.984863,-0.0625,-0.374756,-0.966309,0.0,-0.078125,6
2021-05-31 13:34:08.840,-0.999756,-0.0625,-0.359375,-0.983643,0.0,-0.078125,6
2021-05-31 13:34:08.859,-0.985107,-0.0625,-0.359131,-0.970947,0.0,-0.076416,6
2021-05-31 13:34:08.880,-0.984131,-0.0625,-0.359375,-0.968506,0.001221,-0.091797,6
2021-05-31 13:34:08.899,-0.982666,-0.0625,-0.359375,-0.96875,-0.015137,-0.09375,6
2021-05-31 13:34:08.920,-0.996826,-0.0625,-0.359375,-0.967773,-0.000977,-0.09375,6
